supplySubSector,Ag_cereals,Ag_pasture,Ag_vegetables,Agriculture_all,Electricity_all,Electricity_Import,Livestock_all,Livestock_bulls,Livestock_calves,Livestock_cows,Livestock_heifers,Livestock_steers,W_SW_Upstream,Water_all,Ag_fruittrees,Ag_specialty,commercial,Electricity_Gas,Electricity_Hydro,Electricity_RefLiqDiesel,industrial,municipal,other,residential,downstream,losses,adjustedDemand,Ag_forest,Agriculture_adjusted,Electricity_adjusted,Livestock_adjusted,W_SW_Reservoir,W_SW_Runoff,Water_adjusted,export,supplySector,total,cap,capNew,capOrig,surplus,scenario,x,units,region,subRegion,param
Electricity_Gas,,,,0,0,0,0,,,,,,0,0,,,0,,,,362.943336,,71.45583616,39.07970404,0,0,0,0,0,0,,0,0,0,2.86696636,Electricity,476.34584256,476.34584256,408.84584256,67.5,0,Policy,0,GWh,Argentina,Neuquen_media,param
Electricity_RefLiqDiesel,,,,0,0,0,0,,,,,,0,0,,,0,,,,170.796864,,33.62627584,18.39044896,0,0,0,0,0,0,,0,0,0,1.34916064,Electricity,224.16274944,224.16274944,191.77274944,32.39,-2.8421709430404e-14,Policy,0,GWh,Argentina,Neuquen_media,param
W_SW_Upstream,0.00362810703064473,0.0614711461823097,0.000125186696761403,0,0,0,0,,,,,,0,0,0.000375560090284209,,,7.17e-05,,3.44e-05,,0.00298,,,2.230033743,0,0,0,0,0,,0,0,0,,Water,2.298719843,2.298719843,0,2.298719843,0,Policy,0,km3,Argentina,Neuquen_media,param
Water_all,0.00362810703064473,0.0614711461823097,0.000125186696761403,0,0,0,0,0,0,0,0,0,0,0,0.000375560090284209,0,0,7.17e-05,0,3.44e-05,0,0.00298,0,0,2.230033743,0,0,0,0,0,,0,0,0,0,Water,2.298719843,2.298719843,0,2.298719843,0,Policy,0,km3,Argentina,Neuquen_media,param
Ag_cereals,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,36.42475,Agriculture,36.42475,,0,,,Policy,0,km2,Argentina,RioNegro_baja,param
Ag_fruittrees,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,34.6815,Agriculture,34.6815,,0,,,Policy,0,km2,Argentina,RioNegro_baja,param
Ag_pasture,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,20.09325,Agriculture,20.09325,,0,,,Policy,0,km2,Argentina,RioNegro_baja,param
Ag_vegetables,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,11.1935,Agriculture,11.1935,,0,,,Policy,0,km2,Argentina,RioNegro_baja,param
Agriculture_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,102.393,Agriculture,102.393,102.393,102.393,0,0,Policy,0,km2,Argentina,RioNegro_baja,param
Electricity_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.835906,0,0,0,24.013419,0,24.52153,36.956574,0,0,0,0,0,0,,0,0,0,0,Electricity,106.327429,106.327429,106.327429,0,0,Policy,0,GWh,Argentina,RioNegro_baja,param
Electricity_Import,,,,0,0,0,0,,,,,,0,0,,,20.835906,,,,24.013419,,24.52153,36.956574,0,0,0,0,0,0,,0,0,0,,Electricity,106.327429,,0,,,Policy,0,GWh,Argentina,RioNegro_baja,param
W_SW_Upstream,0.285287136030541,0.0857366734003935,0.0302502941988521,0,0,0,0,,,,,,0,0,0.0937263213702139,,,,,,,0.0021,,,1.675211368,0,0,0,0,0,,0,0,0,,Water,2.172311793,2.172311793,0,2.172311793,0,Policy,0,km3,Argentina,RioNegro_baja,param
Water_all,0.285287136030541,0.0857366734003935,0.0302502941988521,0,0,0,0,0,0,0,0,0,0,0,0.0937263213702139,0,0,0,0,0,0,0.0021,0,0,1.675211368,0,0,0,0,0,,0,0,0,0,Water,2.172311793,2.172311793,0,2.172311793,0,Policy,0,km3,Argentina,RioNegro_baja,param
Ag_cereals,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0.6,Agriculture,0.6,,0,,,Policy,0,km2,Argentina,RioNegro_media,param
Ag_forest,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0.63,Agriculture,0.63,,0,,,Policy,0,km2,Argentina,RioNegro_media,param
Ag_fruittrees,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,1.5,Agriculture,1.5,,0,,,Policy,0,km2,Argentina,RioNegro_media,param
Ag_pasture,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,22.25,Agriculture,22.25,,0,,,Policy,0,km2,Argentina,RioNegro_media,param
Ag_specialty,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0.62,Agriculture,0.62,,0,,,Policy,0,km2,Argentina,RioNegro_media,param
Agriculture_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,25.6,Agriculture,25.6,25.6,25.6,0,0,Policy,0,km2,Argentina,RioNegro_media,param
Electricity_all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.85332975,0,0,0,500.39769527,0,133.63556583,270.82852635,0,0,0,0,0,0,,0,0,0,0,Electricity,1042.7151172,1042.7151172,1042.7151172,0,0,Policy,0,GWh,Argentina,RioNegro_media,param
Electricity_Hydro,,,,0,0,0,0,,,,,,0,0,,,20.86054075,,,,75.72226607,,20.22229113,40.98290205,0,0,0,0,0,0,,0,0,0,,Electricity,157.788,,0,,,Policy,0,GWh,Argentina,RioNegro_media,param
Electricity_Import,,,,0,0,0,0,,,,,,0,0,,,116.992789,,,,424.6754292,,113.4132747,229.8456243,0,0,0,0,0,0,,0,0,0,,Electricity,884.9271172,,0,,,Policy,0,GWh,Argentina,RioNegro_media,param
W_SW_Upstream,0.0079609759473887,0.160833276033615,,0,0,0,0,,,,,,0,0,0.00686727454174271,0.00283847347725365,,,,,,0.00277,,,2.082506793,0,0,0,0,0,,0,0,0,,Water,2.263776793,2.263776793,0,2.263776793,0,Policy,0,km3,Argentina,RioNegro_media,param
Water_all,0.0079609759473887,0.160833276033615,0,0,0,0,0,0,0,0,0,0,0,0,0.00686727454174271,0.00283847347725365,0,0,0,0,0,0.00277,0,0,2.082506793,0,0,0,0,0,,0,0,0,0,Water,2.263776793,2.263776793,0,2.263776793,0,Policy,0,km3,Argentina,RioNegro_media,param
